Question,Answer
Thats great What are the checkin and checkout times,Certainly Our checkin time is 300 pm and checkout time is 1200 pm
Could you tell me more about the room types and prices,"Absolutely We offer several room types, the rates are as follows Comfort Standard Room108rmb, Comfort Single Room108rmb, Business Duplex Standard Room108rmb, Business Duplex King Room108rmb, Executive Business Standard King Room128rmb, Fashionable Smart Standard Room158rmb, Fashionable Smart King Room158rmb, Leisure Duplex Chess Room200rmb, Leisure Duplex Chess Room200rmb, Diversified Smart Film Rom400rmb"
What other amenities do you offer,"We have several amenities that we offer for our guests, such as a complimentary breakfast that is served from 930 am to 1030 am, a gym which is available for guest use, free WiFi with the password being the room number, a supermarket, a cinema, and a market that are all within walking distance, and free parking is available near the hotel Additionally, all of our rooms are equipped with air conditioning, a washing machine, a hair dryer, a television, and an electric kettle"
Great That sounds perfect I think I would like to book one of your rooms,"Wonderful To make the booking process easier, you may contact our front desk directly at 1234567789 Additionally we do offer special discounts for longer periods of stays Please dont hesitate to ask if you have any questions"
"Alright, thank you for your time I think that would be all for now",Youre most welcome We look forward to having you stay with us at Lihao Hotel Have a lovely day
"Good afternoon I am interested in checking into the Lihao Hotel, do you have any availability","Good afternoon Yes, we do have several rooms available What type of room were you looking for"
I am looking for a Fashionable Smart King Room,"Sure, we have a Fashionable Smart King Room available at a rate of 158rmb Do you need any additional services while you stay with us"
"Yes, do you offer breakfast Also, do you have air conditioner, washing machine, hair dryer, television, or electric kettle in the room","Yes We offer breakfast from 930 am to 1030 am We also have air conditioner, washing machine, hair dryer, television, and electric kettle in the room All these items are complimentary Do you need any other services"
"Yes, I wanted to know if you also have free parking available","Yes, we do have free parking available near the hotel Is there anything else I can help you with"
"Thats all, can I have the address of the hotel","Yes, the address of the hotel is 186 Zhuluo East Road, next to the fruit market and across from Futian Garden Our checkin time is 300 pm and checkout time is 1200 pm If you have any further questions, please dont hesitate to contact us on 1234567789"
"Hello, I would like to make a reservation at the Lihao Hotel","Hi, Were happy to help Please confirm the details of your reservation What type of room would you like to book We have the following options available Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Leisure Duplex Chess Room, Diversified Smart Film Rom"
I need two Executive Business Standard King Room for two nights,"Alright, two Executive Business Standard King Rooms for two nights Is that correct"
"Yes, that is correct",Great Check in is at 300 pm and check out is at 1200 pm We offer complimentary WiFi and breakfast from 930 am to 1030 am Please provide us with a valid credit card to make your reservation
"Sure, I have a valid credit card","Great Are you aware of the nearyby amenities such as the supermarket, cinema, and market"
"Yes, I am","Okay, great Is there anything else I can help you with"
"Yes, I want to know about the air conditioner, washing machine, hair dryer, television, and electric kettle provided in the room","Yes, each room is equipped with an air conditioner, washing machine, hair dryer, television, and electric kettle Is there anything else I can help you with"
Do you offer free parking near the hotel,"Yes, we do offer free parking near the hotel Is there anything else I can help you with"
"Hello, I am interested in staying at Lihao Hotel Do you have any availability","Hi there Yes, we have availability at Lihao Hotel We have a variety of room types ranging from Comfort Standard Room to Leisure Duplex Chess Room with prices starting at 108rmb You can check in at 300 pm and check out at 1200 pm Additionally, you have access to amenities such as a gym, WiFi, supermarket, cinema, market and free parking near the hotel"
That sounds great Do you provide any other services or amenities,"Yes, we provide additional services and amenities We have air conditioners, washing machines, hairdryers, televisions and electric kettles available in all rooms We also provide breakfast from 930 am to 1030 am"
Thats perfect Can I get the room type and rate details,"Absolutely  The room types and rates are as follows Comfort Standard Room108rmb, Comfort Single Room108rmb, Business Duplex Standard Room108rmb, Business Duplex King Room108rmb, Executive Business Standard King Room128rmb, Fashionable Smart Standard Room158rmb, Fashionable Smart King Room158rmb, Leisure Duplex Chess Room200rmb, Leisure Duplex Chess Room200rmb, Diversified Smart Film Rom400rmb All rooms also have WiFi, with the password being the room number"
Thats great Does the room have a view,"Yes, all of our rooms have a beautiful view of the Futian Garden, across from the hotel, and the fruit market, next to the hotel"
That sounds perfect I would like to book a room,Great We are excited to have you as our guest Can I get your contact information so that I can send you a confirmation
"Hello, Good Afternoon Id like to book a room at Lihao Hotel","Good Afternoon We are glad to hear that you are interested in staying at our Lihao Hotel We offer a choice of various room types with amenities like air conditioning, washing machine, hairdryer, television and electric kettle What type of room would you prefer"
Could you please recommend me something,"Of course We have the Comfort Standard Room for 108rmb, Comfort Single Room for 108rmb, Business Duplex Standard Room for 108rmb, Business Duplex King Room for 108rmb, Executive Business Standard King Room for 128rmb, Fashionable Smart Standard Room for 158rmb, Fashionable Smart King Room for 158rmb, Leisure Duplex Chess Room for 200rmb and Diversified Smart Film Rom for 400rmb"
"Yes, sounds perfect","Great Could I have the your name and a deposit of 128, please"
Sure My name is Adam Smith and here is the deposit,"Thank you for your payment, MrSmith Now the room is all yours We do have a specific checkin time of 300 pm and checkout time at 1200 pm Breakfast timing is 930 am to 1030 am We also have a gym available for our guests as well as free WiFi, with the password being the room number The hotel also offers free parking near the hotel And if you need anything else, do not hesitate to contact us at 1234567789"
Thatll be all Thank you very much for your help,My pleasure We wish you a pleasant stay with us at the Lihao Hotel Have a great day
"Hi, I need to book a room at the Lihao Hotel",Hi there That sounds great Wed love to have you Where is the hotel located
"Its located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden","Okay, Ill look up the address on the map In the meantime, can I ask what type of room you are wanting to book"
Sure I would like to book a Comfort Single Room,Thats a great choice The Comfort Single Room costs 108rmb Can I confirm a few more details What time do you plan on checking in and out
I plan on checking in at 3 pm and checking out at 12 pm,"Alright I can add this to the reservation Our telephone number at the front desk is 1234567789, if you need to reach us there Is there anything else I can provide you with information about"
"Yes, I would like to know what amenities are available Id like to know about breakfast, gym, WiFi, nearby amenities such as supermarkets, cinemas, and markets, and if there is air conditioning, washing machines, hairdryers, televisions, and electric kettles available","Yes, I can definitely provide you with that information Breakfast is served from 930 am to 1030 am We have a gym that is available to our guests We also offer WiFi, with the password being your room number As far as nearby amenities, there is a supermarket, cinema, and market within walking distance We also provide air conditioning, washing machines, hairdryers, televisions, and electric kettles for our customers We also provide free parking near the hotel"
That sounds great I think I have all the information I need now,One last question Do you need any further assistance before I add this to the reservation
"No, that would be all","Alright, I will add this to the reservation and email you a confirmation Please feel free to contact us if you have any further questions or concerns Thanks for choosing Lihao Hotel"
"Hello, Im interested in staying at the Lihao Hotel, can you tell me more about it","Of course Lihao Hotel is located on 186 Zhuluo East Road, next to the fruit market and across from Futian Garden We have several room types available, from Comfort Standard Room108rmb to Diversified Smart Film Rom400rmb We offer breakfast from 930 am to 1030 am, as well as a gym and free WiFi with the password being the room number Other amenities nearby include a supermarket, cinema, and market The checkin time is at 300 pm and the checkout time is at 1200 pm We also provide air conditioner, washing machine, hair dryer, television, and electric kettle in the room And free parking is available near the hotel Anything else I can help you with"
"Yes, I need to know if there is a free parking near the hotel","Yes, there is free parking available near the hotel"
"Hello, I would like to inquire about staying at the Lihao Hotel","Sure, how can I help you"
What are the different types of rooms that you have and what are their prices,"We have different types of rooms available such as Comfort Standard Room at 108rmb, Comfort Single Room at 108rmb, Business Duplex Standard Room at 108rmb, Business Duplex King Room at 108rmb, Executive Business Standard King Room at 128r, Fashionable Smart Standard Room at 158rmb, Fashionable Smart King Room at 158rmb, Leisure Duplex Chess Room at 200rmb, Leisure Duplex Chess Room at 200rmb, and Diversified Smart Film Room at 400rmb"
"Do you have any other amenities such as a gym, breakfast, WiFi and other near by amenities","Yes, we do have a gym available for our guests, breakfast is served from 930 am to 1030 am WiFi is available, with the password being the room number We are also situated near the fruit market and across from Futian Garden, so youll have access to a nearby supermarket, cinema and market"
"Do your rooms come with air conditioner, washing machine, hair dryer, television, electric kettle and free parking","Yes of course, all our rooms are equipped with air conditioners , washing machines, hair dryers, televisions, electric kettles and free parking is available near the hotel Is there anything else I can help you with"
"Hi, Im interested in staying at Lihao Hotel What kind of rooms do you offer","Hi there We offer a variety of rooms at Lihao Hotel We have the Comfort Standard Room which is 108rmb, Comfort Single Room which is also 108rmb, Business Duplex Standard Room which is 108rmb, Business Duplex King Room which is 108rmb, Executive Business Standard King Room which is 128rmb, Fashionable Smart Standard Room which is 158rmb, Fashionable Smart King Room which is 158rmb, Leisure Duplex Chess Room which is 200rmb, Leisure Duplex Chess Room which is 200rmb, and Diversified Smart Film Rom which is 400rmb"
Thats great Do you have free parking available,"Yes, the free parking is available near the hotel"
What about WiFi,"WiFi is available, and the password is your room number"
What about breakfast,Breakfast is served from 930 am to 1030 am
"Is the air conditioner, washing machine, hair dryer, television and electric kettle available in the room","Yes, all those amenities are available in the room"
What are the checkin and checkout times,The checkin time is 300 pm and the checkout time is 1200 pm
Do you provide a gym facility,"Yes, a gym facility is available for our guests"
"Is there any nearby amenities like supermarket, cinema and market","Yes, there are supermarkets, cinemas and markets nearby"
"Hi, Im looking for a room for the night Do you have any availability","Hello and welcome Yes, we have several rooms available Our Lihao Hotel is located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden Checkin time is at 300 pm and checkout time is 1200 pm We have a variety of room types available, such as Comfort Standard Room108rmb, Comfort Single Room108rmb, Business Duplex Standard Room108rmb, Business Duplex King Room108rmb, Executive Business Standard King Room128rmb, Fashionable Smart Standard Room158rmb, Fashionable Smart King Room158rmb, Leisure Duplex Chess Room200rmb,  Leisure Duplex Chess Room200rmb, and Diversified Smart Film Rom400rmb"
That sounds great Could you tell me what amenities are included in the rooms,"Of course Each room includes air conditioner, washing machine, hair dryer, television, electric kettle, and free WiFi Guests are also entitled to enjoy our complimentary breakfast from 930 am to 1030 am, and use our gym We also have nearby amenities such as a supermarket, a cinema, and market Free parking is also available near the hotel"
Thats awesome I would like to reserve one room for tonight,No problem Please provide us with your personal information and payment method Do you have any further questions
"Yes, do I need to bring my own towels or will you provide them for me","Yes, towels are provided for all guests staying at our hotel"
"Hi, Im looking for accommodation for a few days and saw that you have good reviews Can you tell me more about it","Sure Lihao Hotel is located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden We have several different room types and the prices range from 108rmb to 400rmb, depending on room type We also offer free parking, breakfast from 930 am to 1030 am, a gym and WiFi, with the password being the room number Other nearby amenities include a supermarket, cinema and market"
"Okay, that sounds great Do you have airconditioning, washing machines and other amenities in the room","Yes, we do offer air conditioner, washing machine, hair dryer, television and electric kettle in each of our rooms"
Perfect What are your checkin and checkout times,Our checkin time is 300 pm and checkout time is 1200 pm If you need anything else please dont hesitate to call us at 1234567789
Good morning Im looking for a room in Lihao Hotel,Good morning Were happy to help you find the perfect room at Lihao Hotel We have 8 different room options ranging from Comfort Standard Room to Diversified Smart Film Room What type of room are you looking for
Im looking for a Fashionable Smart Standard Room,"Okay, we have a Fashionable Smart Standard Room available for 158rmb Let me explain the amenities that come with this room Youll get an air conditioner, washing machine, hairdryer, television, electric kettle, and free WiFi with the password being the room number Youll also have access to the gym and free parking near the hotel Lastly, youll get access to free continental breakfast from 930 am to 1030 am Does that sound like something youd be interested in"
"Yes, that sounds perfect Are there any other fees I need to be aware of","No, there are no additional fees You just need to pay the fee for the room and tax Are you interested in checking in today"
"Yes, that would be great What time is checkin",Checkin is at 300 pm and checkout is at 1200 pm Are you looking for any additional amenities or services during your stay
"No, I dont think so I just need a standard room for a few days","Alright, I think we have everything you need Please come to the reception at Lihao Hotel located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden Can I get your name and phone number so I can add it to the reservation"
"Yes, of course My name is John Smith and my phone number is 1234567890","Great, john Smith Ive added your reservation to the system Please feel free to call us if you have any questions Have a nice day and we look forward to seeing you soon"
"Hi, Im interested in staying at Lihao Hotel","Hi, welcome to Lihao Hotel We offer a wide range of rooms with different rates and amenities to meet your stay needs We are located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden What type of room are you looking for"
I am looking for a single room,"We offer Comfort Single Rooms at a rate of 108rmbnight These rooms are equipped with air conditioner, a washing machine, a hair dryer, a television, and a electric kettle Breakfast is available from 930 am to 1030 am and a gym is also available for guests WiFi is available, with the password being the room number Free parking is also available near the hotel and we are close to a supermarket, a cinema, and a market Is this something you are interested in"
That sounds great Is it possible to check in at 3 pm,Absolutely Our checkin time is 3 pm and checkout time is 12 pm Is there anything else I can help you with
That would be all,"Great, please dont hesitate to contact us at 1234567789 if you have any further questions or concerns Would you like to book the room now"
Yes please,"Perfect Let me just go over the details again You will be staying in the Comfort Single Room for 108rmbnight and the amenities include air conditioner, a washing machine, a hair dryer, a television, and a electric kettle Breakfast will be available from 930 am to 1030 am and a gym is also available for guests WiFi is available, with the password being the room number Are you ready to book"
"Yes, I am ready to book","Great, Im so glad you decided to stay with us A confirmation email with your reservation details will be sent to you shortly Have a nice day and thank you for choosing Lihao Hotel"
Hi there Im interested in booking a room at Lihao hotel,"Hi Wed be delighted to have you at Lihao Hotel Could I start by getting a few pieces of information from you, such as your name"
Sure My name is John,"Great, John Now Lihao Hotel is located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden Shall I go on with the details of the accommodation"
Sure What kind of rooms do you have,"We offer various types of rooms such as Comfort Standard Room108rmb, Comfort Single Room108rmb, Business Duplex Standard Room108rmb, Business Duplex King Room108rmb, Executive Business Standard King Room128rmb, Fashionable Smart Standard Room158rmb, Fashionable Smart King Room158rmb, Leisure Duplex Chess Room200rmb, Leisure Duplex Chess Room200rmb, and Diversified Smart Film Rom400rmb"
"Do these rooms have air conditioner, washing machine, hair dryer, television, and electric kettle","Yes, all our rooms are equipped with air conditioner, washing machine, hair dryer, television, and electric kettle In addition, we provide free WiFi for our guests, with the password being the room number"
Great What time is checkin and checkout,Checkin time is 300 pm and checkout time is 1200 pm
What other amenities do you offer,"We provide breakfast from 930 am to 1030 am There is also a gym available for our guests Plus, we have supermarket, cinema, and market located near the hotel In addition, we also offer free parking for our guests"
That sounds great Can I book a room now,Absolutely You can book a room now by giving us a call at 1234567789 or you can also visit our website wwwlihaohotelcom and make the booking online Please feel free to let me know if you have any other questions
"Hi, I would like to know more about Lihao Hotel","Hi, Lihao Hotel is located at 186 Zhuluo East Road It is next to the fruit market and across from Futian GardenWe offer a variety of room types,such as Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Leisure Duplex Chess Room, and Diversified Smart Film Room"
What about the amenities available for guests,"Yes, of course We provide a variety of amenities for our guests We have a gym, free wifi with the password being the room number, a supermarket, a cinema, a market, air conditioning, a washing machine, a hair dryer, a television, an electric kettle and free parking near the hotel We also offer breakfast from 930 am to 1030 am"
What time is the checkin and checkout time,The checkin time is at 300 pm and the checkout time is at 1200 pm You can also call us at 1234567789 if you have any questions
"Hi, I am interested in booking one of your rooms","Hi, Im glad you are interested in staying with us Are you looking for a particular type of room"
Yes I was looking at the Comfort Single Room,"Great Our Comfort Single Room is 108rmb and comes with air conditioning, a washing machine, a hair dryer, a television, and an electric kettle Is that something that you are interested in"
"Sounds good, is the breakfast included with that","Yes, breakfast is included from 930 am to 1030 am every morning We also have a gym available for guests, as well as WiFi with the password being the room number"
Is there free parking available near the hotel,"Yes, we do have free parking available near the hotel Are there any other amenities that you are interested in We also have a nearby supermarket, cinema, and market"
"No, that sounds great What is the checkin and checkout times",Checkin is at 300 pm and checkout is at 1200 pm Do you have any more questions
"No, thats all Can I make a reservation","Absolutely Please provide your name, contact information, and the room type you are interested in I just need to confirm the details of your reservation"
"Hello, I am looking to reserve a room at Lihao Hotel","Well certainly, this is Lihao Hotel We are situated on 186 Zhuluo East Road, next to the fruit market and across from Futian Garden Good to have you with us"
Great Can you tell me what time is checkin and checkout,Sure Our checkin time is 300 pm and checkout time is 1200 pm
Alright What kind of room options do you have,"We have eight room options for you to choose from Comfort Standard Room108rmb, Comfort Single Room108rmb, Business Duplex Standard Room108rmb, Business Duplex King Room108rmb, Executive Business Standard King Room128rmb, Fashionable Smart Standard Room158rmb, Fashionable Smart King Room158rmb, Leisure Duplex Chess Room200rmb, Leisure Duplex Chess Room200rmb and Diversified Smart Film Rom400rmb"
What are the amenities that I can expect,"You can expect breakfast between 930am and 1030am We have a gym available for you to use, free WiFi access with the password being the room number, there is a supermarket, cinema, and market nearby, air conditioner, washing machine, hair dryer, television and electric kettle in each room We also have free parking near the hotel"
"Great, I would like to reserve a business duplex king room for two nights please",Wonderful That will be 416 rmb for two nights May I have your details
Sure My name is Joanne Smith and my contact details are 9876543210,"Perfect, I will reserve the room for you now I just need a form of payment"
No problem Is a debit card accepted,"Yes, a debit card is accepted"
"Ok, Ill provide my debit card information",Great Your room is now reserved Can I provide you with the room number and any other information you need
"Yes, please provide the room number","Sure, your room number is 145 Can I provide you with any additional information"
"No, thats all for now Thank you for your help",Youre welcome Have a nice stay
Hello,"Hi there This is Lihao Hotel, how can I help you"
I wanted to ask what time checkin and checkout is,"Sure, the check in time is 3 pm and check out time is 12 pm"
Great What room types do you have,We have a variety of different room types Our Comfort Standard Room is 108rmb Comfort Single Room is 108rmb Business Duplex Standard Room is 108rmb Business Duplex King Room is 108rmb Executive Business Standard King Room is 128rmb Fashionable Smart Standard Room is 158rmb Fashionable Smart King Room is 158rmb Leisure Duplex Chess Room is 200rmb Diversified Smart Film Rom is 400rmb
"Do all the rooms have basic amenities like air conditioner, washing machine, hair dryer, television, and an electric kettle","Absolutely All our rooms come with air conditioner, a washing machine, hair dryer, television, and an electric kettle"
Do you offer free breakfast,Yes Breakfast is served between 930 am to 1030 am
Do you have a gym and free WiFi,"Yes, our hotel offers a wellequipped gym and free WiFi The password to access the WiFi is the room number"
"Do you have any nearby amenities like a supermarket, cinema, or market","Yes, there is a supermarket, cinema, and market that are all within walking distance of the hotel"
Do you offer free parking,"Yes, we do offer free parking near the hotel"
"Hi, Id like to make a reservation at Lihao Hotel Can you help me","Of course, Id be happy to Where is the hotel located"
"Its at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden","Yes, I see it in our database Unfortunately, all of our Comfort Standard Rooms for the day you requested are currently full Would you like to book any of our other room types"
"Yes, Id like to book a Business Duplex Standard Room, please",Very well What time do you wish to checkin and checkout
Id like to checkin at 3 pm and checkout at 12 pm,No problem So youd like to book a Business Duplex Standard Room for 3 pm checkin and 12 pm checkout Is that correct
"Yes, thats correct","Alright, Ill book the room for you Is there anything else that I can help you with We offer a variety of amenities, including a gym, WiFi, nearby supermarket and cinema, complimentary breakfast from 930 am to 1030 am, and parking near the hotel"
"Yes, Id like to know if the room has air conditioning, a washing machine, a hair dryer, a television and an electric kettle","Absolutely All of our rooms have air conditioning, a washing machine, a hair dryer, a television, and an electric kettle Is there anything else that I can help you with"
"No, that should be all Thank you for your help",My pleasure Your reservation is all booked Have a nice day
"Hi,","Good morning, this is Lihao Hotel How may I help you"
Im looking for a room to stay at your hotel,Sure Can you give me some information about what type of room you are looking for
"Yes, Im looking for the comfort standard room",Great We have a Comfort Standard Room at 108rmb per night Is there anything else you would like to know about this room
"Yes, what is the checkin and checkout time",Checkin time is 300 pm and checkout time is 1200 pm Does that work for you
"Yes, it does Do you also have WiFi available for your guests","Yes, we do The WiFi password is the same as the room number Is there anything else I can help you with"
"Do you also have air conditioner, washing machine, hair dryer, television, electric kettle, and free parking available","Yes, all these amenities are available in the Comfort Standard Room We also have a Gym available for guests Breakfast is served from 930 am to 1030 am Also, we have a Supermarket, cinema, and market nearby our hotel"
"Hi, I would like to know if you have any availability right now","Hi there Yes, of course, we have plenty of availability We have several types of rooms at Lihao Hotel, ranging from Comfort Standard Room108rmb, Comfort Single Room108rmb, Business Duplex Standard Room108rmb, Business Duplex King Room108rmb, Executive Business Standard King Room128rmb, Fashionable Smart Standard Room158rmb, Fashionable Smart King Room158rmb, Leisure Duplex Chess Room200rmb, Leisure Duplex Chess Room200rmb, Diversified Smart Film Room400rmb All our rooms come with air conditioning, a washing machine, a hairdryer, a television, and an electric kettle"
"Wow, thats great Does the hotel provide breakfast","Yes, of course Our breakfast is served from 930am  1030am We also have a gym available for our guests, free WiFi with the password being the room number, and free parking near the hotel Plus, we have several amenities nearby, including a supermarket, cinema, and market"
Thats wonderful How many people can stay in one room and what is the checkin and checkout time,"Most of our rooms can accommodate up to two people, however the Leisure Duplex Chess Room can accommodate up to four people The checkin time is 3pm and checkout time is 12pm Please, let me know if I can help you with anything else"
Thats great Is there any way to reach the front desk if I need assistance,"Sure, the front desk telephone number is 1234567789 Feel free to give us a call anytime if you need assistance"
"Hello, Im interested in staying at the Lihao Hotel Can you tell me more about the hotel room information and amenities that are available to guests","Hello, welcome to Lihao Hotel We are a 3star hotel located in the business district of 186 Zhuluo East Road, next to the fruit market and across from Futian Garden We offer ten different types of rooms, which range in price from 108rmb to 400rmb All of our rooms come with air conditioning, washing machines, hair dryers and televisions You can also enjoy free WiFi, with the password being the room number We also provide a variety of other amenities, such as a gym, supermarket, cinema and market within walking distance, and free parking near the hotel In addition, we offer complimentary breakfast from 930am to 1030am Does this information meet your needs"
"Yes, this definitely meets my needs What time is check in and check out",The checkin time is 300 pm and the checkout time is 1200 pm If you need any further information or assistance dont hesitate to call our front desk at 1234567789 or contact us via email
"Hi, Im calling about Lihao Hotel","Hi, thanks for calling Im the hotel agent at Lihao Hotel How can I help you"
Im interested in booking a room Can you tell me more about the hotel,"Of course We are located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden We have a variety of comfortable rooms, including Comfort Standard Rooms, Comfort Single Rooms, Business Duplex Standard Rooms, Business Duplex King Rooms, Executive Business Standard King Rooms, Fashionable Smart Standard Rooms, Fashionable Smart King Rooms, Leisure Duplex Chess Rooms, and Diversified Smart Film Rooms All rooms come with air conditioning, a washing machine, a hair dryer, a television, and an electric kettle"
What else can you tell me about the hotel,"We also have breakfast served from 930 am to 1030 am, and a gym available for guests WiFi is available, with the password being the room number We have several nearby amenities such as a supermarket, cinema, and market Finally, we have free parking available near the hotel"
That sounds great What are the prices for each of the room types,"Sure For the Comfort Standard Room it is 108rmb, the Comfort Single Room is 108 rmb, the Business Duplex Standard Room is 108rmb, the Business Duplex King Room is 108rmb, the Executive Business Standard King Room is 128rmb, the Fashionable Smart Standard Room is 158rmb, the Fashionable Smart King Room is 158rmb, the Leisure Duplex Chess Room is 200rmb, and the Diversified Smart Film Room is 400rmb"
Thats perfect I think Id like to book a Comfort Standard Room What is the checkin and checkout time,Checkin is at 300 pm and checkout is at 1200 pm
Great Do I need to call ahead or is it a walkin situation,We recommend calling ahead to book a room for the time youre interested in Our front desk telephone number is 1234567789
"Alright, Ill do that Thanks for all the information",No problem We look forward to seeing you at Lihao Hotel soon
"Hello Im looking for a place to stay for a couple of nights, and I heard you had a nice place","Welcome We are the Lihao Hotel, located at 186 Zhuluo East Road, conveniently located next to the fruit market and across from Futian Garden Our checkin time is at 3 pm and checkout time is 12 pm We have a variety of room types depending on your needs with the prices listed on our website"
What types of amenities do you offer I would like a room with a view and air conditioning,"All of our rooms come with air conditioning, and certain rooms come with views We have a range of room types to accommodate all of your needs We have Comfort Standard Rooms, Comfort Single Rooms, Business Duplex Standard Rooms, Business Duplex King Rooms, Executive Business Standard King Rooms, Fashionable Smart Standard Rooms, Fashionable Smart King Rooms, Leisure Duplex Chess Rooms, and Diversified Smart Film Rooms"
"Do you offer any additional amenities such as breakfast, a gym, and WiFi","Absolutely We serve breakfast from 930 am to 1030 am and have a gym available for our guests WiFi is available as well, with the password being the room number There is also a supermarket, cinema, and market near the hotel, and we have free parking right near the hotel"
"Are there any hair dryers, washing machines, electric kettles, or televisions in the rooms","Yes, all of our rooms come with a hair dryer, washing machine, electric kettle, and television"
"Good afternoon, Im calling to inquire about a room for tonight","Good afternoon This is Hotel Name speaking We would be delighted to welcome you We are located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden Our checkin time is at 300 pm and checkout is at 1200 pm"
Do you have a double room available,"Yes, we do We offer a variety of room types to suit your needs and budget Comfort Standard Room costs 108rmb, Comfort Single Room costs 108rmb, Business Duplex Standard Room costs 108rmb, Business Duplex King Room costs 108rmb, Executive Business Standard King Room costs 128rmb, Fashionable Smart Standard Room costs 158rmb, Fashionable Smart King Room costs 158rmb, Leisure Duplex Chess Room costs 200rmb, Leisure Duplex Chess Room costs 200rmb and Diversified Smart Film Room costs 400rmb"
Thats great Can you let me know which amenities are included and available in the room,"Each and every room is equipped with air conditioner, a washing machine, hair dryer, television, electric kettle and wireless internet access We provide complimentary breakfast from 930 am to 1030 am We have a gym available for guests and free parking near the hotel"
Perfect What about atmosphere and surroundings Are there any nearby amenities,"Certainly We are situated near a supermarket, cinema, bank and a market You can easily walk to the nearby restaurants and shops"
Thats great I will definitely book a room,Wonderful We are looking forward to welcoming you Is there anything else I can help you with
"Yes, whats the telephone number of the front desk",The telephone number of the front desk is 1234567789 Please do not hesitate to contact us if you need any assistance
Thank you for your help I look forward to seeing you soon,Youre very welcome Have a safe journey
"Hi, I would like to know more about your hotel","Hi, welcome to Lihao Hotel We are located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden We have a number of room types available for you, such as Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, and Diversified Smart Film Room"
what is the cost of the rooms,The prices of the rooms start from 108rmb and go up to 400rmbs
What are the amenities of each room,"Each room comes with air conditioner, washing machine, hair dryer, television, an electric kettle, and WiFi with the password being the room number"
What time is checkin and checkout,Checkin is at 300 and checkout is at 1200 pm
Is there a gym and free parking in the hotel,"Yes, we do have a gym and free parking near the hotel"
What about breakfast and nearby amenities,"Breakfast is served from 930 am to 1030 am As for nearby amenities, there is a supermarket, cinema, and market"
What if I have more questions or need help,You can always call us at 1234567789 or come visit us at the front desk We are available 247 to assist you with whatever you need Thank you for your interest in our hotel and we look forward to seeing you soon
"Hello, I would like to know more about the facilities and services provided by Lihao Hotel","Hello, thank you for your interest in Lihao Hotel We are pleased to tell you more about the services we provide Our hotel is located in 186 Zhuluo East Road, next to the fruit market and across from Futian Garden Checkin time is at 3 PM and checkout time is at 12PM"
What type of rooms do you offer,"We offer comfort standard room, comfort single room, business duplex standard room, business duplex king room, executive business standard king room, fashionable smart standard room, fashionable smart king room, leisure duplex chess room, diversified smart film room All rooms come with air conditioning, washing machine, hair dryer, television, electric kettle and free parking"
What about the price for each of the room type,"For Comfort Standard Room, it is 108rmb, Comfort Single room is 108rmb, business Duplex Standard Room is 108rmb, business Duplex King Room is 108rmb, executive business standard king Room is 128rmb, fashionable smart standard Room is 158rmb, fashionable smart king Room is 158rmb, leisure Duplex chess Room is 200rmb, and Diversified Smart Film Room is 400rmb"
Does the hotel provide breakfast,"Yes, we do Our breakfast is served from 930 am to 1030 am"
Are there any other facilities or amenities,"Yes, we have a gym available for our guests plus free WiFi access with the password being the room number We are also close to a supermarket, cinema, and market, making it a great place to stay"
What is the contact number of the hotel,The telephone number for our front desk is 1234567789
Any other services that I should know about,"We also offer laundry services, concierge services, shuttle services and late checkout services Please feel free to ask if you have any inquiries We are also happy to help you with your travel plans"
"Hi, I would like to get some information about Lihao Hotel",Hi Welcome to Lihao Hotel How may I help you
"Yes, I want to know what type of rooms do you offer and what the check in and check out time","Sure, we offer Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Leisure Duplex Chess Room, Diversified Smart Film Rom The checkin time is 300 pm, and checkout time is 1200 pm"
"Do you have any amenities such as WiFi,nearby supermarket","Absolutely All of our guests will be provided with a wireless internet connection, with the password being the room number There is a nearby supermarket, cinema, and market around the hotel Moreover, we have an onsite gym and a complimentary breakfast from 930 am to 1030 am for our customers Do you need to know anything else"
