Question,Answer,Question class
"Hi, I am interested in booking a room at your Lihao Hotel","Hi there, thank you for your interest in our Lihao HotelWe are located at 186 Zhuluo East Road,next to the fruit market and across from Futian Garden We offer a range of different room types depending on your budget and your needs Our checkin time is from 3 pm and the checkout time is 12 pm We have a front desk available for you with telephone number 1234567789 for any help you may need",4
"That sounds great, what are my options for room type","We offer Comfort Standard Room from 108rmb, Comfort Single Room from 108rmb, Business Duplex King Room from 108rmb, Executive Business Standard King Room from 128rmb, Fashionable Smart Standard Room from 158rmb, Fashionable Smart King Room from 158rmb, Leisure Duplex Chess Room from 200rmb, Leisure Duplex Chess Room from 200rmb, and Diversified Smart Film Room from 400rmb All of the rooms come with air conditioner, television, electric kettle, washing machine, hair dryer and free internet access with the password being the room number",4
What other facilities do you offer,"In addition to the spacious and comfortable rooms, we also offer breakfast from 930 am to 1030 am We have a gym available for our guests to use, complimentary parking space near the hotel, and we are close to the shopping areas, cinemas, and other convenient amenities",1
"That sounds great, I think I would like to book the Diversified Smart Film Room Can I do so","Sure, we would be delighted to have you stay at Lihao Hotel at a rate of 400rmb per night Please provide your credit card information over the phone We look forward to seeing you soon",1
Hi I would like to make a reservation at Lihao Hotel,"Hi, welcome to Lihao Hotel How can I help you",1
Can you please let me know if the hotel has any rooms available,"Certainly We have a variety of room types available, including Comfort Standard Rooms, Comfort Single Rooms, Business Duplex Standard Rooms, Business Duplex King Rooms, Executive Business Standard King Rooms, Fashionable Smart Standard Rooms, Fashionable Smart King Rooms, Leisure Duplex Chess Rooms, Diversified Smart Film Rooms, and more",4
Great Can you tell me about the amenities available for each room,"Yes, of course All of our rooms come with air conditioning, a washing machine, hair dryer, television, and an electric kettle In addition, we provide free WiFi, with the password being the room number",4
That sounds great Is breakfast provided,"Yes, breakfast is provided from 930am to 1030am",3
What time is checkin and checkout,Checkin time is 300 pm and checkout time is 1200 pm,4
Are there any other amenities nearby that I should know about,"Yes, we are located next to the fruit market and across from Futian Garden There is a supermarket, cinema, and a market nearby We also provide free parking near the hotel",1
Perfect I would like to make a reservation,"Wonderful, please provide me with your contact details and I can arrange for the reservation",1
"Hello, I would like to make a reservation for a single room at the Lihao Hotel on 186 Zhuluo East Road","Certainly, at the Lihao Hotel we have a variety of single rooms to choose from We also offer Comfort Standard Rooms, Business Duplex Standard Rooms, Executive Business Standard King Rooms, Fashionable Smart Standard Rooms, Leisure Duplex Chess Rooms, and Diversified Smart Film Rooms",1
I think Id like to have a Comfort Single Room How much will that cost,Comfort Single Rooms cost 108 rmb,4
Perfect What amenities are included with the rooms,"All of our rooms include air conditioning, a washing machine, a hair dryer, a television, and an electric kettle We also provide free WiFi with the password being the room number Furthermore, we have a gym and a breakfast from 930 am to 1030 am that is available for guests The hotel complex also has a supermarket, a cinema, and a market in vicinity Lastly, we have free parking service near the hotel",3
That sounds great What is the checkin and checkout time,Checkin time is 300 pm and checkout time is 1200 pm,1
"Alright, Id like to make the reservation","Certainly, may I have your name to reserve the room",1
Good morning I am looking for a room at the Lihao Hotel,"Good morning Welcome to Lihao Hotel We are located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden We also offer special room packages for most of our rooms",1
Thats great Do you have any availability for today,"We do have availability for today We offer 10 different room types such as Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Leisure Duplex Chess Room, and Diversified Smart Film Room The prices range from 108 RMB to 400 RMB",4
Great What other amenities are included with the rooms,"Of course All of our rooms have air conditioning, a washing machine, hair dryer, television, and electric kettle We also have free wifi that you can access with your room number Breakfast is served from 930 am to 1030 am We also have a gym which is available for our guests and free parking nearby Supermarkets, cinemas and markets are also available near the hotel",4
That sounds great Can I please get a Comfort Standard Room,"Sure For Comfort Standard Room, the checkin time is 3 pm and checkout is 12 pm I will need your name and contact number for the booking Also, it is 108 RMB for the room",4
"OK, my name is Tom and my contact number is 111111111","Perfect, your booking is all set for today Please reach the hotel by 250 pm and our staff at the front desk will be ready to help you with the checkin formalities If you need any help, please give a call on 1234567789 Will there be anything else that you need, Mr Tom",4
"Thats all, thank you",Its my pleasure We look forward to seeing you at Lihao Hotel Have a nice day,1
"Hi, I would like to book a room for tonight",Great Welcome to Lihao Hotel How can I help you,4
"Yes, I have a few questions What is the earliest checkin time",The earliest checkin time is 300 pm,4
Ok What types of rooms are available,"We offer a range of 8 different types of rooms The eight types of rooms are Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room and the Diversified Smart Film Rom",4
What are the prices of each type of room,"The prices of each room type varies, the prices are Comfort Standard Room108rmb Comfort Single Room 108rmbBusiness Duplex Standard Room108rmb Business Duplex King Room108rmb Executive Business Standard King Room128rmb Fashionable Smart Standard Room158rmbFashionable Smart King Room 158rmb Leisure Duplex Chess Room200rmb Diversified Smart Film Rom400rmb",4
Do you have any other services or amenities,"Yes, we offer complimentary breakfast from 930 am to 1030 am, a gym for our guests, WiFi with the password being the room number, and free parking near the hotel We also have air conditioner, washing machine, hair dryer, television and electric kettle available in all rooms",3
"Ok, that sounds great Can I also confirm the checkout time",Of course The checkout time is 1200 pm,1
"Hello, I am interested in booking a room at the Lihao Hotel  Could you tell me the details","Sure Lihao Hotel is a 4 star hotel located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden The checkin time is 300 pm and checkout time is 1200 pm We offer a variety of room types with different prices The Comfort Standard Room is 108rmb, Comfort Single Room is 108rmb, Business Duplex Standard Room is 108rmb, Business Duplex King Room is 108rmb, Executive Business Standard King Room is 128rmb, Fashionable Smart Standard Room is 158rmb, Fashionable Smart King Room is 158rmb, Leisure Duplex Chess Room is 200rmb, Diversified Smart Film Rom is 400rmb Our rooms are equipped with air conditioner, washing machine, hair dryer, television, electric kettle and free wifi with the password being the room number Breakfast is available in the morning from 930 am to 1030 am We also have a gym available to our guests and free parking near the hotel",4
Can you tell me more about the amenities available nearby,"Yes, there are many amenities nearby such as supermarket, cinema, and market If you have any further questions, please dont hesitate to ask Wed be glad to help",1
"Hello, I would like to book a room in the Lihao Hotel","Hi there, welcome to Lihao Hotel We are located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden How can I help you",1
Id like to get a Comfort Standard Room What is the rate of a night,The rate of a Comfort Standard Room is 108rmb per night Checkin time is at 300 pm and checkout time is at 1200 pm on the day of departure Does it fit your schedule,4
"Yes, that is fine Can you tell me about the other room types you have","Sure We have Comfort Single Room108rmb, Business Duplex Standard Room108rmb, Business Duplex King Room108rmb, Executive Business Standard King Room128rmb, Fashionable Smart Standard Room158rmb, Fashionable Smart King Room158rmb, Leisure Duplex Chess Room200rmb, Leisure Duplex Chess Room200rmb, Diversified Smart Film Rom400rmb Which type of room do you prefer",1
I think the Comfort Standard Room is enough for me I would also like to ask about the amenities,"Sure For your convenience we have air conditioner, washing machine, hair dryer, television, and electric kettle in every room We also have free WiFi with the password being the room number Breakfast will be provided from 930 am to 1030 am  You can use the gym facility and there is free parking available near the hotel There are also nearby supermarke, cinema, and markets",1
That sounds perfect Is there anything else I need to know before I make the reservation,"No, that is all the information I have regarding the room types and amenities we offer  If you require any other information, please do not hesitate to ask",1
Good day I hope you can help me I need a place to stay and I was wondering if Lihao Hotel has availability,"Glad to hear that, yes, we do have several rooms available at Lihao Hotel Our hotel is located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden",4
Great What kind of rooms do you have at the hotel,"We have several room types available For Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, and Fashionable Smart King Room, the cost is around 108rmb For Leisure Duplex Chess Room, and Diversified Smart Film Room, the cost is at 200rmb and 400rmb respectively",1
"That sounds great I need a room with air conditioning, electric kettle, television, and washing machine","All of our rooms feature an air conditioner, electric kettle, television, and washing machine Additionally, we provide free WiFi access and free parking near the hotel Guests can also enjoy a complimentary breakfast from 930am to 1030 am and use the gym for free",3
Thats perfect What time can I check in,"Checkin time is 3 pm, and checkout time is 12 pm Our front desk telephone number is 1234567789",4
Alright Is there any other amenity or services I should know about,"We also provide hair dryer and nearby amenities such as supermarkets, cinemas and markets",1
Great Let me book a room then,Glad to hear that We look forward to having you at the Lihao Hotel Please dont hesitate to call us if you need more information,1
"Hi, Id like to book a room at Lihao Hotel",Hi there How can I help you,1
Id like to know what room types you have and the prices,"Sure We have a variety of room types at Lihao Hotel We have Comfort Standard Room for 108rmb, Comfort Single Room for 108rmb, Business Duplex Standard Room for 108rmb, Business Duplex King Room for 108rmb, Executive Business Standard King Room for 128rmb, Fashionable Smart Standard Room for 158rmb, Fashionable Smart King Room for 158rmb, Leisure Duplex Chess Room for 200rmb, Leisure Duplex Chess Room for 200rmb and Diversified Smart Film Rom for 400rmb",4
Thats such a wide selection What other amenities come with the rooms,"Yes We provide all rooms with air conditioning, washing machine, hair dryer, television, an electric kettle as well as free WiFi, with the password being the room number We also have a breakfast available for our guests from 930 am to 1030 am Additionally, we have a gym which is available for our guests and free parking near the hotel We have many nearby amenities like a supermarket, cinema, and market",3
That sounds wonderful What are the checkin and checkout times,Our checkin time is 300 pm and checkout time is 1200 pm,1
Perfect How can I book a room,You can book a room through our website or call our front desk telephone number 1234567789 and wed be glad to help you book a room,4
Great Thank you for your help,Youre welcome Is there anything else I can help you with,4
"No, thank you That should be all",Okay Have a nice day and enjoy your stay,1
"Good morning, I would like to inquire about staying at your hotel",Good morning Welcome to Lihao Hotel How can I help you today,3
Can you tell me about the checkin and checkout times for your hotel,Sure Checkin time is at 300 pm and checkout time is at 1200 pm,4
What is the telephone number for the hotels front desk,The front desk telephone number is 1234567789,4
Can you tell me a bit about the room types at the hotel,"Absolutely We have a variety of room types for guests to choose from Our Comfort Standard Room is 108 rmb, our Comfort Single Room is 108 rmb, our Business Duplex Standard Room is 108 rmb, our Business Duplex King Room is 108 rmb, our Executive Business Standard King Room is 128 rmb, our Fashionable Smart Standard Room is 158 rmb, our Fashionable Smart King Room is 158 rmb, our Leisure Duplex Chess Room is 200 rmb, our Diversified Smart Film Room is 400 rmb",4
What kind of amenities are available in the rooms,"The rooms are equipped with air conditioners, washing machines, hair dryers, televisions, and electric kettles",4
Does the hotel offer complimentary breakfast,"Yes, we do offer complimentary breakfast from 930 am to 1030 am",4
What about a gym Is it available for guests,"Yes, it is available for our guests",4
How about WiFi,WiFi is also available for our guests and the password is the room number,4
"Are there any nearby amenities such as supermarkets, cinema, or markets","Yes, there is a supermarket, cinema, and market located nearby the hotel",4
Does your hotel offer free parking,"Yes, free parking is available near the hotel",1
Good afternoon I would like to inquire about the Lihao Hotel,Hello Welcome to Lihao Hotel How can I help you,4
I am interested in staying at your hotel Can you tell me more about the amenities and room types,"Of course We offer a variety of room types ranging from Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, and Diversified Smart Film Room, all ranging from 108rmb to 400rmb We also provide other amenities such as free WiFi with a password being the room number, free parking near the hotel, a gym available for guests, an air conditioner, a washing machine, a hair dryer, a television, and an electric kettle Plus, we are located next to a fruit market and across from Futian Garden What kind of room were you looking for",1
Ill go with the Executive Business Standard King Room How much is it,The Executive Business Standard King Room is 128rmb per night Would you like to make a booking,4
Sure What is the checkin time,Checkin is available from 300pm and checkout is at 1200pm,4
Perfect Does the room include breakfast,"Yes, breakfast is served from 930am to 1030am Is there anything else I can help you with",4
"No, I think thats all","Great If you have any other questions, please do not hesitate to get in touch with us at 1234567789 We look forward to having you stay with us",4
"Hi there, Im interested in staying at Lihao Hotel Can you give me more information about it","Certainly Lihao Hotel is located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden We are pleased to accommodate guests from 300 PM until 1200 PM on their checkin and checkout day We even have a front desk telephone number of 1234567789  for any queries on arrival",4
What types of rooms do you offer,"We have 9 different types of rooms to suit your needs They include Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, and Diversified Smart Film Room Prices range from 108rmb to 400rmb",4
What other amenities do you provide,"We provide a complimentary continental breakfast every day from 930 am to 1030 am for our guests We also have a gym and Wifi with the password being the room number available for all our guests Within close proximity to the hotel is a supermarket, cinema, and market  In terms of room amenities, we provide air conditioners, washing machines, hair dryer, television, and electric kettles at no extra cost We even provide free parking near the hotel",1
"Hello, Im interested in a stay at Lihao Hotel and I was wondering if you could provide me with some more information about the hotel and its amenities","Certainly Lihao Hotel is located at 186 Zhuluo East Road next to the fruit market and across from Futian Garden We have a variety of room types ranging from standard comfort rooms to more luxurious rooms with all the necessary amenities All our rooms are air conditioned, and also come equipped with",4
Thats great I am interested in the Leisure Duplex Chess Room at 200rmb Can you tell me what other facilities will also be provided,"Sure  Apart from the amenities mentioned earlier, the Leisure Duplex Chess Room also comes with a queensized bed, a private bathroom, complimentary toiletries and a minifridge for your convenience There is also a working desk that you can use for any official work The room also has a balcony overlooking the city so you can enjoy beautiful views from there Furthermore, there is a safe box to store your valuables",3
"Hello, could I know more about your hotel","Certainly, sir Welcome to Lihao Hotel Our hotel is located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden We offer 10 different types of rooms, ranging from Comfort Standard Room to Diversified Smart Film Room",4
What are the checkin and checkout times,"Checkin is at 300 PM, while checkout is at 1200 PM You can contact our front desk at 1234567789 with any questions",4
Do you offer breakfast and other amenities,"Absolutely We offer breakfast from 930am to 1030am Our hotel offers a gym and WiFi, with the password being the room number Our hotel is also in close proximity to a supermarket, cinema, and market for your convenience Additionally, each room is airconditioned, equipped with a washing machine, hair dryer, television, and electric kettle We also offer free parking nearby",1
That sounds great Is there anything else I should know before making a reservation,"No, sir Thats all the information we have right now We look forward to welcoming you to our lovely Lihao Hotel",1
"Hi, I would like to make a reservation","Hi, thank you for your interest in Lihao Hotel How can I help you",1
I would like to book a room for two people,"Certainly, would you like one of our Comfort Standard rooms, Comfort Single rooms, Business Duplex standard rooms, Business Duplex King rooms, Executive Business Standard King rooms, Fashionable Smart Standard rooms, Fashionable Smart King rooms, Leisure Tetris Chess Room, Leisure Duplex Chess Room, or Diversified Smart Filme rooms",1
Ill take one of the Fashionable Smart Standard rooms,Excellent choice The price per night for the Fashionable Smart Standard rooms is 158 rmb Is that okay,4
"Yes, that is fine",Great When would you like to checkin and checkout of the Lihao Hotel,3
Id like to checkin at 300 pm and checkout at 1200 pm,Perfect Let me just confirm the details with you You are booking one Fashionable Smart Standard room for two people and you would like to checkin at 300 pm and checkout at 1200 pm Is that correct,3
"Yes, that is correct","Wonderful We look forward to your arrival Do you want to take advantage of any of our inhouse amenities like the breakfast, gym, WiFi, nearby attractions like the supermarket, cinema, and market",4
"Yes, please, I would love to take advantage of the WiFi and breakfast options","Certainly To access the WiFi, use your room number as the password For breakfast, please make sure to arrive between 930 am and 1030 am Lastly, our Lihao Hotel offers amenities like air conditioner, washing machine, hair dryer, television, and electric kettle Also, there is free parking available near the hotel",1
That is great So I am all set,"Yes, you are all set It was a pleasure to have you as a guest We wish you a pleasant stay at Lihao Hotel Do you want to pay now or when you checkin",2
I will pay when I check in,Perfect Thank you for your reservation We look forward to seeing you Goodbye,1
Good day I am looking for accommodation at Lihao Hotel,"Hi there Welcome to Lihao Hotel We are located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden",1
What kind of room do you have available,"We have a variety of room types available, including Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Diversified Smart Film Room and more The prices start from 108rmb for Comfort Standard Room and range up to 400rmb for Diversified Smart Film Room",4
How much is the Comfort Standard Room,Comfort Standard Room is 108rmb per night,4
What facilities are included in the room,"All of our rooms come with air conditioning, a washing machine, a hair dryer, a television, an electric kettle, and free WiFi with the password being your room number",3
What time are checkin and checkout,Our checkin time is 300 pm and checkout time is 1200 pm,4
Do you offer free parking,"Yes, we do offer free parking near the hotel",4
What about breakfast and gym,"We also provide buffet breakfast from 930 am to 1030 am, and our gym is available for guests",4
Are there any nearby amenities,"Yes, there is a supermarket, cinema, and market in close proximity to the hotel",4
What is the front desk telephone number,The front desk telephone number is 1234567789,1
"Okay, I would like to book a room",Great Please provide us your details and well get everything ready for you,1
"Hello, I want to book a room in Lihao Hotel","Hello, Im the hotel agent at Lihao Hotel Thank you for choosing us You may book your room with us today For which room type are you looking for We have Comfort Standard Room, Comfort single room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Leisure Duplex Chess Room, and Diversified Smart Film Rom The prices range from 108rmb to 400rmb",4
I would prefer the Comfort Standard Room Can I know more about the facilities and amenities available,"The Comfort Standard Room is equipped with an air conditioner, a washing machine, a hair dryer, a television, and an electric kettle There is free WiFi service available with the password being the room number We also provide hot breakfast from 930 am to 1030 am There is also a gym available for our guests, and you can find nearby supermarkets, cinemas, and markets Lastly, there is free parking available near the hotel",4
Does the hotel allow early checkin,"Yes, we do offer early checkin The checkin time for the Comfort Standard Room is 300 pm and the checkout time is 1200 pm If you would like to checkin earlier, please call our Front Desk at 1234567789 to ask if we can accommodate you",3
That sounds great I think I will be checking in earlier Is there anything else I should know before checkingin,"Unfortunately, there is nothing that you should be aware of before checking in Please make sure to bring your valid identification documents, such as your passport and drivers license, when you checkin If you have any other questions, please do not hesitate to contact us We are more than happy to help you with your inquiries",1
"Good morning, I would like to make a reservation",Good morning Welcome to the Lihao hotel How can I help you,1
Id like to book a room for two nights,"Ok great Can you please tell me what type of room youd like to book We have Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Leisure Duplex Chess Room, Diversified Smart Film Rom",1
Id like to book a Fashionable Smart Standard Room,"Alright, a Fashionable Smart Standard Room Will you require breakfast We offer breakfast between 930 am to 1030 am",1
"Yes, Id like to have breakfast","Perfect Do you need to know about any other amenities that are available in the room, such as WiFi, air conditioner, washing machine, hair dryer, television, electric kettle, and free parking",4
"Yes, I would like to know about the WiFi and the free parking","Great The WiFi is available, with the password being the room number As for the free parking, it is available near the hotel Is there anything else I can help you with",3
"Yes, I would like to know about the checkin and checkout times",Sure Our checkin time is 3 pm and our checkout time is 12 pm Is there anything else we can help you with before you make your reservation,1
That should be all How much will it cost for two nights,"For two nights, the cost of a Fashionable Smart Standard room will be 316rmb 158rmb per night Is that alright",1
That should work Id like to make the reservation,Okay great Can I have your name and contact information in order to book the reservation,1
"Hi, Im looking for some information on Lihao Hotel","Hi there, what kind of information can I help you with",4
Is this hotel located somewhere in particular What time are checkin and checkout,"Lihao Hotel is located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden Checkin is at 300 pm and checkout is at 1200 pm",4
"What are the different types of rooms available, and what are their prices Do any of them include breakfast","Sure We have Comfort Standard Room108rmb, Comfort Single Room108rmb, Business Duplex Standard Room108rmb, Business Duplex King Room108rmb, Executive Business Standard King Room128rmb, Fashionable Smart Standard Room158rmb, Fashionable Smart King Room158rmb, Leisure Duplex Chess Room200rmb, Leisure Duplex Chess Room200rmb, Diversified Smart Film Rom400rmb And breakfast is available from 930 am to 1030 am, served in the hotel lobby",4
Are there any facilities like a gym or WiFi,"Yes, we have an onsite gym available for guests WiFi is available and the password is the same as the room number",4
Are there any nearby amenities Such as a supermarket or cinema,"There is a supermarket, cinema and market near the hotel",4
"Are air conditioner,washing machine,hair dryer,television,electric kettle provided in the room","Yes, all the above amenities are provided in the room And we also offer free parking near the hotel",1
"Good afternoon, Id like to book a room at your Lihao Hotel",Great Do you have any special requirements,1
"Yes, Id like a room for two people for two nights","Sure, we have a few options for you We have comfort standard room, comfort single room, business duplex standard room, business duplex king room, executive business standard king room, fashionable smart standard room, fashionable smart king room, leisure duplex chess room, diversified smart film room, and leisure duplex chess room  Which type of rooms would you like",1
Ill take the Executive Business Standard King Room,"Alright, thats the Executive Business Standard King Room for two nights We have a 24hour front desk service and our checkin time is 300 pm Would you like me to book it for you now Our checkout time is 1200 pm",1
"Yes, please book it for me","Ok, let me just get some information from you Your name, date of birth, and a valid form of identification please",4
"Sure My name is Jay, my DOB is October 5, 1990 and Ill provide my drivers license as a valid form of identification","Perfect Okay, I go ahead and book the room for you now Let me provide you with some more information about our hotel and surrounding area We provide complimentary WiFi which you can use with the password being the room number We also have a gym and our breakfast is from 930 am to 1030 am  The nearby amenities include a supermarket, a cinema and a market The air conditioner, washing machine, hair dryer, television and electric kettle all come standard with the room Free parking is also available near the hotel",4
That sounds great Thank you,Youre welcome We are looking forward to having you here Have a great day,1
"Hi, I would like to book a room for two nights","Sure, we offer a variety of different room types here at Lihao Hotel We are located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden What kind of room were you looking for Our room rates start from 108rmb, our most luxurious one being the Diversified Smart Film Rom which is 400rmb",1
Do you have a Comfort Standard or Comfort Singl room available,"Yes, those rooms are currently available The Comfort Standard Room and Comfort Single Room both cost 108rmb Would you like to book one of these rooms",4
"Yes, please Are there any other amenities that I should know about","Absolutely We offer a variety of amenities here at Lihao Hotel We have free wifi available, with the password being the room number We also have a gym and free parking available near the hotel Our breakfast service is open from 930 am to 1030 am There is also a supermarket, cinema and market nearby Additionally, all rooms come with air conditioners, washing machines, hair dryers, televisions and electric kettles for your convenience",3
Sounds great What are the checkin and checkout times,"Our checkin time is 300 pm and checkout time is 1200 pm For any further queries, you can call us at 1234567789",1
Thats perfect Id like to book the room then,Wonderful We are glad that you chose to stay with us at Lihao Hotel I will get the room booked for you Please provide the necessary details to proceed with the booking,4
"Hello, how may I help you",Hi there Im calling from Lihao Hotel and I was wondering if I could help you with something,1
"Sure, Im looking for a nice hotel to stay in during my visit Can you tell me a bit about the Lihao Hotel","Absolutely Lihao Hotel is located on 186 Zhuluo East Road, next to the fruit market and across from Futian Garden We offer many different room with different room types including Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room ,Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Diversified Smart Film Room, among others All our rooms include amenities such as air conditioner, washing machine, hair dryer, television, and electric kettle",4
That sounds great Do you offer free breakfast and gym,"Yes, we do We offer complimentary breakfast from 930 am to 1030 am and our gym is available for guests to use Furthermore, WiFi is available throughout the hotel, with the password being the room number",4
What other amenities are nearby,"You can find a supermarket, cinema, and market nearby We also offer free parking near the hotel",3
What are your checkin and checkout times,"Our checkin time is 300 pm and our checkout time is 1200 pm We do offer late checkouts, but it is subject to availability",4
Is there a telephone number I can call if I have any questions,"Yes, we have a front desk telephone number you can call The number is 1234567789 If we can be of any further assistance, please do not hesitate to let us know",1
"Hi there, I am looking for a hotel for four days and I saw that Lihao Hotel is nearby Do you have any availability","Hello, and welcome to Lihao Hotel We do have availability for four days, starting 3 pm tomorrow All our rooms are equipped with air conditioner, washing machine, television, electric kettle, hairdryer and free WiFi Is this something you are looking for",1
"Yes, that sounds perfect Could you tell me what room types you have Im looking for something comfortable","Certainly We have various types of rooms available Comfort Standard Room108rmb, Comfort Single Room108rmb, Business Duplex Standard Room108rmb, Business Duplex King Room108rmb, Executive Business Standard King Room128rmb, Fashionable Smart Standard Room158rmb, Fashionable Smart King Room158rmb, Leisure Duplex Chess Room200rmb, Leisure Duplex Chess Room200rmb, Diversified Smart Film Rom400rmb Would any of these accommodate your needs",4
"Yes, that looks great Could you tell me more about nearby amenities and the hotel facilities Id like to know what I can do during my stay","Of course Our hotel is located 186 Zhuluo East Road, next to the fruit market and across from Futian Garden Youll find supermarket, cinema, and market nearby We also have a gym available for guests, free parking and WiFi, with the password being the room number Our breakfast is served from 930 am to 1030 am",4
That sounds great Is there anything else I should know before booking,"No, thats actually everything Our checkin time is 3pm and checkout time is 12 pm If you have any questions or need any help, please do not hesitate to call our front desk telephone number 1234567789 We look forward to welcoming you soon",4
"Hi, Id like to know the information about your hotel, the Lihao Hotel in 186 Zhuluo East Road","Hi, thank you for inquiring about Lihao Hotel We are located next to the fruit market and across from Futian Garden Our checkin time is at 300 pm and checkout time is at 1200 pm We have a total of 10 different room types ranging from Comfort Standard Room  108rmb, Comfort Single Room  108rmb, Business Duplex Standard Room  108rmb, Business Duplex King Room  108rmb, Executive Business Standard King Room  128rmb, Fashionable Smart Standard Room  158rmb, Fashionable Smart King Room  158rmb, Leisure Duplex Chess Room  200rmb, Leisure Duplex Chess Room  200rmb and Diversified Smart Film Room  400rmb",4
"That sounds great Does your hotel offer breakfast, gym, and WiFi service","Certainly Breakfast is served from 930 am to 1030 am We also offer a gym and WiFi service, with the WiFi password being the room number",4
What other amenities are nearby,"There is a supermarket, cinema and market near the hotel, which can provide you with a great range of services",4
"Do you have other facilities such as air conditioner, washing machine, hair dryer, television, and electric kettle","Yes, we do Every room is equipped with air conditioner, washing machine, hair dryer, television, and electric kettle In addition, we also provide free parking near the hotel",4
Thats great Thank you for the information,You are most welcome Please let us know if you have further queries Enjoy your stay at Lihao Hotel,1
"Hi, Im interested in booking a room at the Lihao Hotel Could you tell me more about it","Sure Lihao Hotel is located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden Its well known for providing great hospitality and services to our customers We offer different types of rooms, from the Comfort Standard to the Diversified Smart Film Room",3
That sounds great What time is the checkin and checkout time,Checkin time is 3 PM and checkout time is 12 PM,4
What amenities do you offer,"We offer breakfast from 930am to 1030am, a gym, WiFi password is the room number, air conditioner, washing machine, hairdryer, television, and electrical kettle We also have free parking available near the hotel",4
Are there any nearby amenities,"Yes, there is a supermarket, a cinema, and a market not too far from our hotel",4
Ok awesome What kind of rooms are available and how much are they,"We have Comfort Standard Room which is 108RMB, Comfort Single Room which is 108RMB, Business Duplex Standard Room which is 108RMB, Business Duplex King Room which is 108RMB, Executive Business Standard King Room which is 128RMB, Fashionable Smart Standard Room which is 158RMB, Fashionable Smart King Room which is 158RMB, Leisure Duplex Chess Room which is 200RMB, and Diversified Smart Film Room which is 400RMB",1
"Thats a whole lot OK, I think Id like the Comfort Standard Room Do you have one still available","Yes, we do have one available Would you like to reserve it now",1
Yes I would Please reserve it for me,Of course I have reserved the Comfort Standard Room for you Is there anything else I can do for you,1
"Actually, yes Could you also provide a confirmation email just to make sure that the reservation is officially made",Definitely I will send the confirmation email to you Please check your email,1
Hi Id like to make a reservation at Lihao Hotel,"Hi, this is Lihao Hotel How can I help you",1
I need a room for the night Can you give me some details about the hotel,"Sure Lihao Hotel is located on 186 Zhuluo East Road, next to the fruit market and across from Futian Garden We have a variety of room types ranging from Comfort Standard Room to Fashionable Smart King Room and Diversified Smart Film Room, with prices ranging from 108rmb to 400rmb per night All of our rooms come with air conditioning, a washing machine, a hair dryer, a television, and electrical kettle",4
That sounds great Do you offer free parking,"Yes, free parking is available near the hotel",4
Do you provide WiFi as well,"Yes, we do We provide free WiFi to all of our guests, with the password being the room number",4
What about amenities near the hotel,"We are conveniently located near a supermarket, cinema, and market, so all your shopping needs are easily taken care of",4
Does your hotel have a gym and a breakfast area,"Yes, we do have a gym available for guests and a breakfast room open from 930 am to 1030 am",4
What are the checkin and checkout times,Checkin time is 300 pm and checkout time is 1200 pm,3
Is there anything else that I should know,"No, thats all the information that you need to know If you have any further queries, please do contact us at 1234567789 Well be happy to assist you",4
